"gr-qc/9209002","David Garfinkle","David Garfinkle","Results on exact solutions of low energy string theory","8 pages, plain tex","Phys.Rev. D46 (1992) 4286-4288","10.1103/PhysRevD.46.4286",,"gr-qc",,"  A family of solutions to low energy string theory is found. These solutions
represent waves traveling along ""extremal black strings""
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1992 15:11:44 GMT""},{""version"":""v2"",""created"":""Sat, 31 Oct 1992 20:08:55 GMT""}]","2009-10-22"
"hep-lat/9209009",,"A. Kocic, J.B. Kogut and K.C. Wang","Monopole Percolation and The Universality Class of the Chiral Transition
  in Four Flavor Noncompact Lattice QED","17 pages, 10 figures","Nucl.Phys. B398 (1993) 405-424","10.1016/0550-3213(93)90116-7","ILL-(TH)-92-#17","hep-lat",,"  We simulate four flavor noncompact lattice QED using the Hybrid Monte Carlo
algorithm on $10^4$ and $16^4$ lattices. Measurements of the monopole
susceptibility and the percolation order parameter indicate a transition at
$\beta = {1/e^2} = .205(5)$ with critical behavior in the universality class of
four dimensional percolation. We present accurate chiral condensate
measurements and monitor finite size effects carefully. The chiral condensate
data supports the existence of a power-law transition at $\beta = .205$ in the
same universality class as the chiral transition in the two flavor model. The
resulting equation of state predicts the mass ratio $m_\pi^2/m_\sigma^2$ in
good agreement with spectrum calculations while the hypothesis of a
logarithmically improved mean field theory fails qualitatively.
","[{""version"":""v1"",""created"":""Fri, 4 Sep 1992 18:35:35 GMT""}]","2009-10-22"
"hep-lat/9209010","Maria-Paola Lombardo","A. Kocic, J.B. Kogut and M.-P. Lombardo","Universal Properties of Chiral Simmetry Breaking","19 pages, 4 figures. CERN-TH.6630/92 ILL-(TH)-92-18","Nucl.Phys. B398 (1993) 376-404","10.1016/0550-3213(93)90115-6",,"hep-lat",,"  We discuss chiral symmetry breaking critical points from the perspective of
PCAC, correlation length scaling and the chiral equation of state. A scaling
theory for the ratio $R_\pi$ of the pion to sigma masses is presented. The
Goldstone character of the pion and properties of the longitudinal and
transverse chiral susceptibilities determine the ratio $R_\pi$ which can be
used to locate critical points and measure critical indices such as $\delta$.
We show how PCAC and correlation length scaling determine the pion mass'
dependence on the chiral condensate and lead to a practical method to measure
the anomalous dimension $\eta$. These tools are proving useful in studies of
the chiral transition in lattice QED and the quark-gluon plasma transition in
lattice QCD.
","[{""version"":""v1"",""created"":""Fri, 4 Sep 1992 18:50:26 GMT""}]","2009-10-22"
"hep-lat/9209011",,"P. Butera and M. Comi (Istituto Nazionale di Fisica Nucleare
  Dipartimento di Fisica, Universit\`a di Milano Via Celoria 16, 20133 Milano,
  Italy)","A quantitative study of the Kosterlitz-Thouless phase transition in a
  system of two-dimensional plane rotators ( XY model ) by high temperature
  expansions through $\beta^{20}$","12 pages, plain revtex, sorry no figures, Preprint IFUM 429/FT","Phys.Rev. B47 (1993) 11969-11979","10.1103/PhysRevB.47.11969",,"hep-lat cond-mat",,"  High temperature series expansions of the spin-spin correlation function for
the plane rotator (or XY) model on the square lattice are extended by three
terms through order $\beta^{20}$. Tables of the expansion coefficients are
reported for the correlation function spherical moments of order $l=0,1,2$. The
expansion coefficients through $\beta^{15}$ for the vorticity are also
tabulated. Our analysis of the series supports the Kosterlitz-Thouless
predictions on the structure of the critical singularities and leads to fairly
accurate estimates of the critical parameters.
","[{""version"":""v1"",""created"":""Fri, 4 Sep 1992 22:28:00 GMT""}]","2009-10-22"
"hep-ph/9209212","Fred Cooper","Fred Cooper","Dynamical Approach to Pair Production from Strong Fields","28 pages, LA-UR-92-2753",,,,"hep-ph",,"  Lectures Given at the Nato Advanced Study Institute-Particle Production in
Highly Excited Matter Il Ciocco, Italy July 1992 figure available on request.
Input harvmac.tex
","[{""version"":""v1"",""created"":""Fri, 4 Sep 1992 17:28:06 GMT""}]","2007-05-23"
"hep-ph/9209213","Jiri Chyla","J.Chyla and A.Kataev","Next-to-next-to-leading order QCD analysis of the Gross-Llewellyn Smith
  sum rule and the higher twist effects","Latex 19 pages and 4 Postscript figures appended at the end of this
  file","Phys.Lett. B297 (1992) 385-397","10.1016/0370-2693(92)91278-H",,"hep-ph",,"  We present the next-to-next-to-leading order QCD analysis of the
Gross-Llewellyn Smith (GLS) sum rule in deep inelastic lepton-nucleon
scattering, taking into account dimension-two, twist-four power correction. We
discuss in detail the renormalization scheme dependence of the perturbative QCD
approximations, propose a procedure for an approximate treatment of the quark
mass threshold effects and compare the results of our analysis to the recent
experimental data of the CCFR collaboration. From this comparison we extract
the value of the strong coupling constant $\alpha_{s}^{nnl}(M_{Z},\overline{\rm
MS})= 0.115\pm0.001(stat)\pm0.005(syst)\pm0.003(twist)\pm0.0005(scheme)$. We
stress the importance of an accurate measurement of the GLS sum rule and in
particular of its $Q^{2}$ dependence.
","[{""version"":""v1"",""created"":""Fri, 4 Sep 1992 17:33:19 GMT""},{""version"":""v2"",""created"":""Sat, 5 Sep 1992 00:32:10 GMT""}]","2009-10-22"
"hep-ph/9209214",,"K.S. Babu and Q. Shafi","From Fermion Mass Matrices to Neutrino Oscillations","16 pages, in LaTeX","Phys. Lett. B 294 (1992) 235","10.1016/0370-2693(92)90688-Z","BA-92-27","hep-ph",,"  We present an ansatz for the quark and lepton mass matrices, derivable from
SO(10) type GUTs, which accommodates a heavy $(> 92 GeV)$ top quark and permits
large mixings in the $\nu_\mu \leftrightarrow \nu_\tau$ sector (as suggested by
the recent Kamiokande and IMB data on the atmospheric neutrinos). The well
known asymptotic relations $m_b = m_\tau$, $m_s = \frac{1}{3} m_\mu$ and
$m_dm_s = m_e m_\mu$ all hold to a good approximation. Depending on $\nu_\mu
\leftrightarrow \nu_\tau$ mixing which can even be maximal, the mixing angle
relevant for solar neutrino oscillation lies in the range $7.8 \times 10^{-3}
\stackrel{_<}{_\sim} \sin^2 2\theta_{e\mu} \stackrel{_<}{_\sim} 2.1 \times
10^{-2}$. For the $^{71}$Ga experiment the event rate, normalized against the
standard solar model prediction of 132 SNU, is estimated to be between 80 and
20 SNU.
","[{""version"":""v1"",""created"":""Fri, 4 Sep 1992 19:18:11 GMT""}]","2009-10-22"
"hep-ph/9209215",,"K.S. Babu and R.N. Mohapatra","Predictive Neutrino Spectrum in Minimal $SO(10)$ Grand Unification","14 pages, Latex","Phys.Rev.Lett.70:2845-2848,1993","10.1103/PhysRevLett.70.2845","BA-92-54, UMD-PP-93-021","hep-ph",,"  We show that minimal SO(10) Grand Unification models where the fermions have
Yukawa couplings to only one (complex) {\bf 10} and one {\bf 126} of Higgs
scalars lead to a very predictive neutrino spectrum. This comes about since the
standard model doublet contained in the {\bf 126} of Higgs (needed for the
see--saw mechanism) receives an induced vacuum expectation value at
tree--level, which, in addition to correcting the bad asymptotic mass relations
$m_d=m_e$ and $m_s=m_\mu$, also relates the Majorana neutrino mass matrix to
observables in the charged fermion sectors. We find that (i) the
$\nu_e-\nu_{\mu}$ mixing angle relevant for the solar neutrinos can be
considerably smaller than the Cabibbo angle and lies in the range ${\rm
sin}\theta_{e \mu}= 0-0.3$, (ii) $\nu_e-\nu_\tau$ mixing is sin$\theta_{e \tau}
\simeq 3|V_{td}| \simeq 0.05$, (iii) the $\nu_\mu-\nu_\tau$ mixing angle is
large, ${\rm sin}\theta_{\mu \tau} \simeq 3|V_{cb}|=0.12-0.16$, and (iv)
$m_{\nu_\tau}/m_{\nu_\mu} \ge 10^3$, implying that $\nu_{\mu}-\nu_\tau$
oscillations should be accessible to forthcoming experiments.
","[{""version"":""v1"",""created"":""Fri, 4 Sep 1992 19:19:01 GMT""}]","2010-11-01"
"hep-ph/9209216","David Yung-Min Bowser Chao","David Bowser-Chao and Debra L. Dzialo","A Comparison of the Use of Binary Decision Trees and Neural Networks in
  Top Quark Detection","14pp. Plain TeX + mtexsis.tex (latter available through 'get
  mtexsis.tex'.) Two postscript files avail. by email","Phys.Rev. D47 (1993) 1900-1905","10.1103/PhysRevD.47.1900","DOE-301 CPP-38","hep-ph",,"  The use of neural networks for signal vs.~background discrimination in
high-energy physics experiment has been investigated and has compared favorably
with the efficiency of traditional kinematic cuts. Recent work in top quark
identification produced a neural network that, for a given top quark mass,
yielded a higher signal to background ratio in Monte Carlo simulation than a
corresponding set of conventional cuts. In this article we discuss another
pattern-recognition algorithm, the binary decision tree. We have applied a
binary decision tree to top quark identification at the Tevatron and found it
to be comparable in performance to the neural network. Furthermore,
reservations about the ""black box"" nature of neural network discriminators do
not apply to binary decision trees; a binary decision tree may be reduced to a
set of kinematic cuts subject to conventional error analysis.
","[{""version"":""v1"",""created"":""Fri, 4 Sep 1992 19:55:10 GMT""}]","2009-10-22"
"hep-th/9209014","Junichi Shiraishi","J. Shiraishi","Free Boson Representation of $U_{q}(\hat{sl_{2}})$","8 pages, latex file, UT-617 (revised version)",,,,"hep-th",,"  A representation of the quantum affine algebra $U_{q}(\hat{sl_{2}})$ of an
arbitrary level $k$ is realized in terms of three boson fields, whose $q
\rightarrow 1$ limit becomes the Wakimoto representation. An analogue of the
screening current is also obtained. It commutes with the action of
$U_{q}(\hat{sl_{2}})$ modulo total difference of some fields.
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1992 07:23:16 GMT""},{""version"":""v2"",""created"":""Mon, 14 Sep 1992 11:41:00 GMT""}]","2008-02-03"
"hep-th/9209015","Akishi Kato","Akishi Kato, Yas-Hiro Quano and Jun'ichi Shiraishi","Free Boson Representation of $q$-Vertex Operators and their Correlation
  Functions","22 pages, latex file, UT-618 (revised version)","Commun.Math.Phys. 157 (1993) 119-138","10.1007/BF02098022",,"hep-th",,"  A bosonization scheme of the $q$-vertex operators of $\uqa$ for arbitrary
level is obtained. They act as intertwiners among the highest weight modules
constructed in a bosonic Fock space. An integral formula is proposed for
$N$-point functions and explicit calculation for two-point function is
presented.
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1992 07:28:19 GMT""},{""version"":""v2"",""created"":""Mon, 14 Sep 1992 11:43:42 GMT""}]","2009-10-22"
