"alg-geom/9209001","Dr Roger Brussee","Rogier Brussee","On the $(-1)$-curve conjecture of Friedman and Morgan","13 pages, LaTeX 2.09",,,,"alg-geom math.AG",,"  Main difference with previous version: we prove that every differentiably
embedded sphere with self intersection $-1$ in a simply connected algebraic
surface with $p_g >0$ is homologous to a $(-1)$-curve if $|K_{\min}|$ contains
a smooth irreducible curve of genus at least 2 and $p_g$ is even or $K_{\min}^2
\not\equiv 7 \pmod8$ (here $K_{\min}$ is the canonical class of the minimal
model).
","[{""version"":""v1"",""created"":""Sat, 12 Sep 1992 12:01:29 GMT""},{""version"":""v2"",""created"":""Wed, 14 Oct 1992 16:46:38 GMT""}]","2008-02-03"
"astro-ph/9209002","Kohji Tomisaka","Kohji Tomisaka and Joel N. Bregman","Extended Hot Gas Halos Around Starburst Galaxies","17pages in LaTeX (16 figures available upon request)","Publ.Astron.Soc.Jap. 45 (1993) 513",,,"astro-ph",,"  Reanalysis of Einstein IPC data and new observations from the GINGA
  LAC indicate the presence of extended X-ray emission (10-50 kpc) around the
starburst galaxy M82. Here we model this emission by calculating numerical
hydrodynamic simulations of the starburst event to much later times and larger
scales than previously considered. For our models, we adopt a supernova rate of
0.1 ${\rm yr}^{-1}$, and an extended low-density static halo that is bound to
the galaxy. There are three stages to the evolution of the wind-blown bubble
and the propagation of the shock front: the bubble expands in an almost uniform
density disk gas, with a deceleration of the shock front ($t \alt $ 3.6 Myr);
breakout from the disk and the upward acceleration of the shock front (3.6
  Myr $\alt t \alt$ 18 Myr); propagation into the halo, leading to a more
spherical system and shock deceleration (18 Myr $\alt t$). For a halo density
of $10^{-3} {\rm cm}^{-3}$, the outflow reaches a distance of 40-50 kpc from
the center of the starburst galaxy in 50 Myr. We calculate the time evolution
of the X-ray luminosity and find that the extended starburst emits $3\times
10^{39}\lcgs$ to $10^{40}\lcgs$ in the
  GINGA LAC band and $\sim 10^{41}\lcgs$ in the Einstein or ROSAT
  HRI band. The degree of the ionization equilibrium in the outflow and its
effect on the iron K$\alpha$ line emission are discussed.
","[{""version"":""v1"",""created"":""Sat, 12 Sep 1992 06:27:35 GMT""}]","2007-05-23"
"cond-mat/9209010","Jorge Vinals","Hao-wen Xi, J.D. Gunton, Jorge Vinals","Study of spiral pattern formation in Rayleigh-Benard convection","9 pages, 6 Figures (Postscript, appended)","Phys.Rev.E47:2987,1993","10.1103/PhysRevE.47.R2987",,"cond-mat",,"  We present a numerical study of a generalized two-dimensional Swift-Hohenberg
model of spiral pattern formation in Rayleigh-B\'enard convection in a
non-Boussinesq fluid. We demonstrate for the first time that a model for
convective motion is able to predict in considerable dynamical detail the
spontaneous formation of a rotating spiral state from an ordered hexagon state.
Our results are in good agreement with recent experimental studies of $CO_{2}$
gas. The mean flow and non-Boussinesq effects are shown to be crucial in
forming rotating spirals.
","[{""version"":""v1"",""created"":""Fri, 11 Sep 1992 18:22:52 GMT""},{""version"":""v2"",""created"":""Mon, 14 Sep 1992 13:25:42 GMT""}]","2008-12-24"
"cond-mat/9209011","Steven C. Erwin","E. J. Mele and S. C. Erwin","Anisotropic Pairing on a Three-Band Fermi Surface for $A_3{\rm C}_{60}$","11 pages + 3 figs",,"10.1103/PhysRevB.47.2948",,"cond-mat",,"  We study a model for anisotropic singlet pairing in $A_3{\rm C}_{60}$, using
a realistic model for the Fermi surface in a hypothesized
orientationally-ordered doped crystal. Anisotropic solutions are studied by
combining numerical solutions to the gap equation in the low-temperature phase
with a Landau expansion near the mean field critical temperature. We focus on a
class of three-dimensional nodeless $d$-wave solutions to the model, which
exhibit a fully developed gap everywhere on the Fermi surface, but non-BCS
temperature dependence of the order parameter in the condensed state, a
relatively large value of the low-temperature gap, $2\Delta/kT_{\rm c}$ , and
non-BCS structure in the quasiparticle spectrum near the gap.
","[{""version"":""v1"",""created"":""Fri, 11 Sep 1992 18:36:50 GMT""}]","2009-10-22"
"cond-mat/9209012","Fabian Essler","Fabian H.L. Essler, Vladimir E. Korepin, Kareljan Schoutens","Completeness of the SO(4) Extended Bethe Ansatz for the One-Dimensional
  Hubbard Model","33 pages, using latex, to appear in Nucl.Phys. B (FS)","Nucl.Phys. B384 (1992) 431-458","10.1016/0550-3213(92)90575-V",,"cond-mat",,"  We show how to construct a complete set of eigenstates of the hamiltonian of
the one-dimensional Hubbard model on a lattice of even length $L$. This is done
by using the nested Bethe Ansatz {\it and} the $SO(4)$ symmetry of the model.
We discuss in detail how the counting of independent eigenstates is carried
out.
","[{""version"":""v1"",""created"":""Sat, 12 Sep 1992 00:59:40 GMT""}]","2009-10-22"
"hep-lat/9209017","Christian Holm","Christian Holm and Wolfhard Janke","Finite-Size Scaling Study of the Three-Dimensional Classical Heisenberg
  Model","9 pages, FUB-HEP 9/92, HLRZ Preprint 56/92, August 1992","Phys. Lett. A173 (1993) 8","10.1016/0375-9601(93)90077-D",,"hep-lat",,"  We use the single-cluster Monte Carlo update algorithm to simulate the
three-dimensional classical Heisenberg model in the critical region on simple
cubic lattices of size $L^3$ with $L=12, 16, 20, 24, 32, 40$, and $48$. By
means of finite-size scaling analyses we compute high-precision estimates of
the critical temperature and the critical exponents, using extensively
histogram reweighting and optimization techniques. Measurements of the
autocorrelation time show the expected reduction of critical slowing down at
the phase transition. This allows simulations on significantly larger lattices
than in previous studies and consequently a better control over systematic
errors in finite-size scaling analyses.
","[{""version"":""v1"",""created"":""Fri, 11 Sep 1992 22:25:06 GMT""}]","2009-10-22"
"hep-ph/9209228","Kyungsik Kang","Kyungsik Kang and Alan R. White (Brown Univeristy)","Color--Sextet Quark Condensation In QCD","8 pages, (Phyzzx)",,,"BROWN-HET-873","hep-ph",,"  We present the minimal sextet--quark condensation model as an attractive
alternative to the standard model. The model is constructed by a simple and
natural extension beyond the standard model and has many new interesting
features some of which can be tested readily at the existing colliders. A
crucial test may be a short--lived axion-- like $\eta_6$ of mass 30--60 GeV,
which can produce high energy photons diffractively at hadron colliders and
radiatively in $e^+ e^-$ colliders.
","[{""version"":""v1"",""created"":""Fri, 11 Sep 1992 16:28:12 GMT""}]","2007-05-23"
"hep-ph/9209229",,"Fred C. Adams, Katherine Freese, and J. S. Langer","Baryon Number Diffusion and Instabilities in the Quark/Hadron Phase
  Transition","8 pages, UM AC 92-8",,,,"hep-ph",,"  Hadron bubbles that nucleate with radius $R_{nuc}$ in a quark sea (if the
phase transition is first order) are shown to be unstable to the growth of
nonspherical structure when the bubble radii exceed a critical size of $20 -
10^3$ $R_{nuc}$. This instability is driven by a very thin layer of slowly
diffusing excess baryon number that forms on the surface of the bubble wall and
limits its growth. This instability occurs on a shorter length scale than those
studied previously and these effects can thus be important for both cosmology
and heavy ion collisions.
","[{""version"":""v1"",""created"":""Fri, 11 Sep 1992 21:18:00 GMT""}]","2007-05-23"
"hep-th/9209037",,"E. Bergshoeff, A. Sevrin and X. Shen","A Derivation of the BRST Operator for Non-Critical W-Strings","TEX file, pp14, UG-8/92, CERN-TH.6647/92,LBL-32806","Phys.Lett. B296 (1992) 95-103","10.1016/0370-2693(92)90808-H",,"hep-th",,"  We derive the recently proposed BRST charge for non-critical W strings from a
Lagragian approach. The basic observation is that, despite appearances, the
combination of two classical ``matter'' and ``Toda'' w_3 systems leads to a
closed modified gauge algebra, which is of the so-called soft type. Based on
these observations, a novel way to construct critical W_3 strings is given.
","[{""version"":""v1"",""created"":""Fri, 11 Sep 1992 16:34:20 GMT""}]","2009-10-22"
"hep-th/9209039","Donald Spector","John Rogers and Donald Spector","Quantum Mechanics with Explicit Time Dependence","7 pages, harvmac","Phys.Lett. A170 (1992) 344","10.1016/0375-9601(92)90884-O","HWS-92/06","hep-th",,"  We investigate quantum mechanical Hamiltonians with explicit time dependence.
We find a class of models in which an analogue of the time independent \S
equation exists. Among the models in this class is a new exactly soluble model,
the harmonic oscillator with frequency inversely proportional to time.
","[{""version"":""v1"",""created"":""Fri, 11 Sep 1992 18:47:35 GMT""}]","2009-10-22"
